catalog_number,site_code,site_name,investigator_id,year_collected,month_collected,day_collected,start_year_collected,start_month_collected,start_day_collected,end_year_collected,end_month_collected,end_day_collected,sampling_method,phylum,class,order,family,scientific_name,japanese_name,standard_length,wet_weight,sex,remarks
MOT-LK-BWKFFSLWW0000001,BWK,琵琶湖,mem2016LKBWK_FF,2016,6,29,2016,6,28,2016,6,29,エリ,脊索動物門,硬骨魚綱,スズキ目,サンフィッシュ科,Lepomis macrochirus macrochirus,ブルーギル,102.0,36.3,,
MOT-LK-BWKFFSLWW0000002,BWK,琵琶湖,mem2016LKBWK_FF,2016,6,29,2016,6,28,2016,6,29,エリ,脊索動物門,硬骨魚綱,スズキ目,サンフィッシュ科,Lepomis macrochirus macrochirus,ブルーギル,96.0,30.1,,
MOT-LK-BWKFFSLWW0000003,BWK,琵琶湖,mem2016LKBWK_FF,2016,6,29,2016,6,28,2016,6,29,エリ,脊索動物門,硬骨魚綱,スズキ目,サンフィッシュ科,Lepomis macrochirus macrochirus,ブルーギル,99.0,35.5,,
MOT-LK-BWKFFSLWW0000004,BWK,琵琶湖,mem2016LKBWK_FF,2016,6,29,2016,6,28,2016,6,29,エリ,脊索動物門,硬骨魚綱,スズキ目,サンフィッシュ科,Lepomis macrochirus macrochirus,ブルーギル,97.0,33.5,,
MOT-LK-BWKFFSLWW0000005,BWK,琵琶湖,mem2016LKBWK_FF,2016,6,29,2016,6,28,2016,6,29,エリ,脊索動物門,硬骨魚綱,スズキ目,サンフィッシュ科,Lepomis macrochirus macrochirus,ブルーギル,114.0,50.7,,
MOT-LK-BWKFFSLWW0000006,BWK,琵琶湖,mem2016LKBWK_FF,2016,6,29,2016,6,28,2016,6,29,エリ,脊索動物門,硬骨魚綱,スズキ目,サンフィッシュ科,Lepomis macrochirus macrochirus,ブルーギル,104.0,43.5,,
MOT-LK-BWKFFSLWW0000007,BWK,琵琶湖,mem2016LKBWK_FF,2016,6,29,2016,6,28,2016,6,29,エリ,脊索動物門,硬骨魚綱,スズキ目,サンフィッシュ科,Lepomis macrochirus macrochirus,ブルーギル,84.0,20.2,,
MOT-LK-BWKFFSLWW0000008,BWK,琵琶湖,mem2016LKBWK_FF,2016,6,29,2016,6,28,2016,6,29,エリ,脊索動物門,硬骨魚綱,スズキ目,サンフィッシュ科,Lepomis macrochirus macrochirus,ブルーギル,108.0,49.8,,
MOT-LK-BWKFFSLWW0000009,BWK,琵琶湖,mem2016LKBWK_FF,2016,6,29,2016,6,28,2016,6,29,エリ,脊索動物門,硬骨魚綱,スズキ目,サンフィッシュ科,Lepomis macrochirus macrochirus,ブルーギル,92.0,30.2,,
MOT-LK-BWKFFSLWW0000010,BWK,琵琶湖,mem2016LKBWK_FF,2016,6,29,2016,6,28,2016,6,29,エリ,脊索動物門,硬骨魚綱,スズキ目,サンフィッシュ科,Lepomis macrochirus macrochirus,ブルーギル,100.0,41.5,,
MOT-LK-BWKFFSLWW0000011,BWK,琵琶湖,mem2016LKBWK_FF,2016,6,29,2016,6,28,2016,6,29,エリ,脊索動物門,硬骨魚綱,スズキ目,サンフィッシュ科,Lepomis macrochirus macrochirus,ブルーギル,104.0,40.1,,
MOT-LK-BWKFFSLWW0000012,BWK,琵琶湖,mem2016LKBWK_FF,2016,6,29,2016,6,28,2016,6,29,エリ,脊索動物門,硬骨魚綱,スズキ目,サンフィッシュ科,Lepomis macrochirus macrochirus,ブルーギル,126.0,62.1,,
MOT-LK-BWKFFSLWW0000013,BWK,琵琶湖,mem2016LKBWK_FF,2016,6,29,2016,6,28,2016,6,29,エリ,脊索動物門,硬骨魚綱,スズキ目,サンフィッシュ科,Lepomis macrochirus macrochirus,ブルーギル,105.0,42.8,,
MOT-LK-BWKFFSLWW0000014,BWK,琵琶湖,mem2016LKBWK_FF,2016,6,29,2016,6,28,2016,6,29,エリ,脊索動物門,硬骨魚綱,スズキ目,サンフィッシュ科,Lepomis macrochirus macrochirus,ブルーギル,96.0,29.9,,
MOT-LK-BWKFFSLWW0000015,BWK,琵琶湖,mem2016LKBWK_FF,2016,6,29,2016,6,28,2016,6,29,エリ,脊索動物門,硬骨魚綱,スズキ目,サンフィッシュ科,Lepomis macrochirus macrochirus,ブルーギル,103.0,33.2,,
MOT-LK-BWKFFSLWW0000016,BWK,琵琶湖,mem2016LKBWK_FF,2016,6,29,2016,6,28,2016,6,29,エリ,脊索動物門,硬骨魚綱,スズキ目,サンフィッシュ科,Lepomis macrochirus macrochirus,ブルーギル,102.0,36.3,,
MOT-LK-BWKFFSLWW0000017,BWK,琵琶湖,mem2016LKBWK_FF,2016,6,29,2016,6,28,2016,6,29,エリ,脊索動物門,硬骨魚綱,スズキ目,サンフィッシュ科,Lepomis macrochirus macrochirus,ブルーギル,107.0,41.3,,
MOT-LK-BWKFFSLWW0000018,BWK,琵琶湖,mem2016LKBWK_FF,2016,6,29,2016,6,28,2016,6,29,エリ,脊索動物門,硬骨魚綱,スズキ目,サンフィッシュ科,Lepomis macrochirus macrochirus,ブルーギル,110.0,47.5,,
MOT-LK-BWKFFSLWW0000019,BWK,琵琶湖,mem2016LKBWK_FF,2016,6,29,2016,6,28,2016,6,29,エリ,脊索動物門,硬骨魚綱,スズキ目,サンフィッシュ科,Lepomis macrochirus macrochirus,ブルーギル,93.0,29.5,,
MOT-LK-BWKFFSLWW0000020,BWK,琵琶湖,mem2016LKBWK_FF,2016,6,29,2016,6,28,2016,6,29,エリ,脊索動物門,硬骨魚綱,スズキ目,サンフィッシュ科,Lepomis macrochirus macrochirus,ブルーギル,75.0,15.5,,
MOT-LK-BWKFFSLWW0000021,BWK,琵琶湖,mem2016LKBWK_FF,2016,6,29,2016,6,28,2016,6,29,エリ,脊索動物門,硬骨魚綱,スズキ目,サンフィッシュ科,Lepomis macrochirus macrochirus,ブルーギル,86.0,21.1,,
